Call Number,Unit ID,Incident Number,Call Type,Call Date,Watch Date,Received DtTm,Entry DtTm,Dispatch DtTm,Response DtTm,On Scene DtTm,Transport DtTm,Hospital DtTm,Call Final Disposition,Available DtTm,Address,City,Zipcode of Incident,Battalion,Station Area,Box,Original Priority,Priority,Final Priority,ALS Unit,Call Type Group,Number of Alarms,Unit Type,Unit sequence in call dispatch,Fire Prevention District,Supervisor District,Neighborhooods - Analysis Boundaries,Location,RowID
09030109,E18,09030109,Medical Incident,04/12/2000,04/12/2000,04/12/2000 09:00:29 PM,04/12/2000 09:01:40 PM,04/12/2000 09:02:00 PM,,,,,Other,,2000 Block of 37TH AVE,SF,94116,B08,18,0757,3,3,3,false,,1,ENGINE,1,8,4,Sunset/Parkside,"(37.7487247711275, -122.495504020186)",001030101-E18
001030104,M14,00030612,Medical Incident,04/12/2000,04/12/2000,04/12/2000 09:09:02 PM,04/12/2000 09:10:17 PM,04/12/2000 09:10:29 PM,04/12/2000 09:12:11 PM,04/12/2000 09:19:36 PM,04/12/2000 09:43:57 PM,04/12/2000 10:03:33 PM,Other,04/12/2000 10:23:57 PM,1700 Block of 43RD AVE,SF,94122,B08,23,7651,3,3,3,true,,1,MEDIC,2,8,4,Sunset/Parkside,"(37.7540326780595, -122.502185504543)",001030104-M14
001030106,M36,13067402,Medical Incident,06/01/2017,04/12/2000,04/12/2000 09:09:44 PM,04/12/2000 09:10:56 PM,04/12/2000 09:11:47 PM,,04/12/2000 09:14:11 PM,04/12/2000 09:59:31 PM,04/12/2000 10:10:06 PM,Other,04/12/2000 10:43:40 PM,0 Block of FELL ST,SF,94102,B02,36,3111,3,3,3,false,,1,MEDIC,1,2,6,Tenderloin,"(37.7764405100838, -122.418481123408)",001030106-M36
001030107,E01,13067402,Alarms,06/01/2017,06/01/2017,04/12/2000 09:13:47 PM,04/12/2000 09:13:51 PM,04/12/2000 09:14:13 PM,04/12/2000 09:15:58 PM,04/12/2000 09:20:12 PM,,,Other,04/12/2000 09:24:19 PM,100 Block of JONES ST,SF,94102,B03,01,1456,3,3,3,false,,1,ENGINE,3,3,6,Tenderloin,"(37.7825474000421, -122.412247935495)",001030107-E01
12077793,RS1,13067402,Medical Incident,04/12/2000,04/12/2000,04/12/2000 09:14:43 PM,04/12/2000 09:16:11 PM,04/12/2000 09:16:24 PM,04/12/2000 09:18:20 PM,04/12/2000 09:20:08 PM,,,Other,04/12/2000 09:20:36 PM,700 Block of MARKET ST,SF,94108,B03,01,1322,3,3,3,false,,1,RESCUE SQUAD,2,1,3,Tenderloin,"(37.7863072236365, -122.405294845215)",001030108-RS1
001030112,T03,07021713,Citizen Assist / Service Call,06/01/2017,04/12/2000,04/12/2000 09:24:27 PM,04/12/2000 09:24:54 PM,04/12/2000 09:25:10 PM,04/12/2000 09:27:10 PM,04/12/2000 09:30:26 PM,,,Other,04/12/2000 09:44:28 PM,800 Block of SUTTER ST,SF,94109,B01,03,1463,3,3,3,false,,1,TRUCK,1,1,3,Nob Hill,"(37.7884388430214, -122.414352343522)",001030112-T03
001030116,E38,07021713,Electrical Hazard,04/12/2000,04/12/2000,04/12/2000 09:25:55 PM,04/12/2000 09:28:06 PM,04/12/2000 09:28:46 PM,04/12/2000 09:29:59 PM,04/12/2000 09:31:18 PM,,,Other,04/12/2000 09:39:36 PM,CALIFORNIA ST/VAN NESS AV,SF,94109,B04,38,3155,3,3,3,false,,1,ENGINE,1,4,2,Nob Hill,"(37.7903696585646, -122.422328957341)",001030116-E38
001030117,E15,00030626,Odor (Strange / Unknown),04/12/2000,04/12/2000,04/12/2000 09:27:55 PM,04/12/2000 09:28:38 PM,04/12/2000 09:30:27 PM,04/12/2000 09:31:43 PM,04/12/2000 09:34:57 PM,,,Other,04/12/2000 09:38:24 PM,2100 Block of ALEMANY BLVD,SF,94112,B09,15,8331,3,3,3,false,,1,ENGINE,1,9,11,Outer Mission,"(37.7183153380753, -122.441921085449)",001030117-E15
001030118,E08,00030625,Medical Incident,04/12/2010,04/12/2000,04/12/2000 09:27:45 PM,04/12/2000 09:28:58 PM,04/12/2000 09:29:21 PM,04/12/2000 09:31:26 PM,04/12/2000 09:32:34 PM,,,Other,04/12/2000 09:45:28 PM,4TH ST/CHANNEL ST,SF,,B03,08,2226,3,3,3,false,,1,ENGINE,1,3,6,None,"(37.7750268633971, -122.392346204303)",001030118-E08
001030119,M17,07021713,Medical Incident,04/12/2010,04/12/2000,04/12/2000 09:29:54 PM,04/12/2000 09:30:16 PM,04/12/2000 09:31:26 PM,04/12/2000 09:32:41 PM,04/12/2000 09:37:43 PM,04/12/2000 09:48:49 PM,,Other,04/12/2000 10:31:08 PM,1400 Block of NEWCOMB AVE,SF,94124,B10,17,6516,1,1,2,true,,1,MEDIC,1,10,10,Bayview Hunters Point,"(37.7335924152271, -122.38701801742)",001030119-M17
04012483,E13,00030627,Alarms,04/12/2000,04/12/2010,04/12/2000 09:30:54 PM,04/12/2000 09:30:57 PM,04/12/2000 09:31:23 PM,04/12/2000 09:34:01 PM,04/12/2000 09:34:30 PM,,,Other,04/12/2000 09:50:48 PM,500 Block of COMMERCIAL ST,SF,94111,B01,13,1166,3,3,3,false,,1,ENGINE,1,1,3,Tenderloin,"(37.7942116655012, -122.402644729189)",001030120-E13
05002244,M18,00030630,Medical Incident,04/12/2000,04/12/2000,04/12/2000 09:31:55 PM,04/12/2000 09:33:48 PM,04/12/2000 09:34:10 PM,04/12/2000 09:35:59 PM,04/12/2000 09:45:22 PM,,,Other,04/12/2000 09:49:52 PM,1800 Block of IRVING ST,SF,94122,B08,22,7424,1,1,2,false,,1,MEDIC,1,8,4,Sunset/Parkside,"(37.763482287794, -122.477678638767)",001030122-M18
001030124,M09,00030633,Medical Incident,04/12/2000,04/12/2000,04/12/2000 09:41:20 PM,04/12/2000 09:41:39 PM,04/12/2000 09:43:19 PM,04/12/2000 09:46:26 PM,04/12/2000 09:52:57 PM,,,Other,04/12/2000 10:00:32 PM,21ST ST/SHOTWELL ST,SF,94110,B06,07,5455,1,1,2,true,,1,MEDIC,1,6,9,Mission,"(37.7572324112144, -122.415626198524)",001030124-M09
03048160,E08,00030635,Medical Incident,04/12/2011,04/12/2000,04/12/2000 09:46:09 PM,04/12/2000 09:46:09 PM,04/12/2000 09:46:09 PM,,,,,Other,04/12/2000 09:48:27 PM,4TH ST/KING ST,SF,94107,B03,08,2236,3,3,3,false,,1,ENGINE,1,3,6,Mission Bay,"(37.7763329756243, -122.394035065186)",001030127-E08
03031831,E05,07021713,Alarms,04/12/2000,04/12/2011,04/12/2000 09:45:28 PM,04/12/2000 09:46:21 PM,04/12/2000 09:46:45 PM,04/12/2000 09:48:07 PM,04/12/2000 09:49:45 PM,,,Other,04/12/2000 10:19:27 PM,1400 Block of STEINER ST,SF,94115,B04,05,3623,3,3,3,false,,1,ENGINE,1,5,5,Tenderloin,"(37.7826256736324, -122.434187755055)",001030128-E05
001030128,T06,00030636,Alarms,04/12/2000,04/12/2011,04/12/2000 09:45:28 PM,04/12/2000 09:46:21 PM,04/12/2000 09:46:45 PM,04/12/2000 09:47:44 PM,04/12/2000 09:50:09 PM,,,Other,04/12/2000 10:17:00 PM,1400 Block of STEINER ST,SF,94115,B04,05,3623,3,3,3,false,,1,TRUCK,2,5,5,Tenderloin,"(37.7826256736324, -122.434187755055)",001030128-T06
001030130,M18,00030638,Medical Incident,04/12/2011,04/12/2000,04/12/2000 09:49:20 PM,04/12/2000 09:50:14 PM,04/12/2000 09:50:44 PM,04/12/2000 09:57:02 PM,04/12/2000 10:02:05 PM,,,Other,04/12/2000 10:08:16 PM,3000 Block of VICENTE ST,SF,94116,B08,18,7637,2,2,2,false,,1,MEDIC,1,8,4,Tenderloin,"(37.7383172638778, -122.499533373462)",001030130-M18
001030132,E39,07021713,Other,04/12/2000,04/12/2000,04/12/2000 09:53:20 PM,04/12/2000 09:54:32 PM,04/12/2000 09:54:49 PM,,04/12/2000 10:05:03 PM,,,Other,04/12/2000 10:22:22 PM,500 Block of TERESITA BLVD,SF,94127,B08,39,8645,3,3,3,false,,1,ENGINE,1,9,7,West of Twin Peaks,"(37.738002083532, -122.446449647871)",001030132-E39
001030135,M10,00030642,Medical Incident,04/12/2000,04/12/2000,04/12/2000 09:57:18 PM,04/12/2000 09:59:07 PM,04/12/2000 09:59:19 PM,04/12/2000 10:00:04 PM,04/12/2000 10:05:03 PM,,,Other,04/12/2000 11:16:36 PM,2600 Block of TURK BLVD,SF,94118,B05,21,4564,3,3,3,false,,1,MEDIC,1,5,1,Lone Mountain/USF,"(37.7781665631084, -122.450200042476)",001030135-M10
001960229,RA08,00058795,Medical Incident,07/14/2000,07/14/2000,07/14/2000 05:51:52 PM,07/14/2000 05:52:51 PM,07/14/2000 05:53:17 PM,07/14/2000 05:54:20 PM,07/14/2000 06:05:14 PM,07/14/2000 06:30:30 PM,07/14/2000 06:41:57 PM,Other,07/14/2000 07:04:12 PM,0 Block of FELL ST,SF,94102,B02,36,3111,1,1,2,false,,1,AIRPORT,1,2,6,Tenderloin,"(37.7764405100838, -122.418481123408)",001960229-RA08
001960229,RC1,00058795,Medical Incident,07/14/2000,07/14/2000,07/14/2000 05:51:52 PM,07/14/2000 05:52:51 PM,07/14/2000 05:53:17 PM,,,,,Other,07/14/2000 06:40:35 PM,0 Block of FELL ST,SF,94102,B02,36,3111,1,1,2,true,,1,RESCUE CAPTAIN,2,2,6,Tenderloin,"(37.7764405100838, -122.418481123408)",001960229-RC1
001960235,RA13,00058801,Medical Incident,07/14/2000,07/14/2000,07/14/2000 06:02:42 PM,07/14/2000 06:04:41 PM,07/14/2000 06:05:00 PM,07/14/2000 06:05:22 PM,07/14/2000 06:13:30 PM,07/14/2000 06:34:35 PM,07/14/2000 06:54:07 PM,Other,07/14/2000 07:20:50 PM,700 Block of POLK ST,SF,94109,B02,03,3115,1,1,2,false,,1,AIRPORT,1,2,6,Tenderloin,"(37.7833430636234, -122.419159190984)",001960235-RA13
001960237,M36,00058803,Medical Incident,07/14/2000,07/14/2000,07/14/2000 06:08:09 PM,07/14/2000 06:12:25 PM,07/14/2000 06:12:50 PM,07/14/2000 06:13:55 PM,07/14/2000 06:16:00 PM,07/14/2000 06:26:00 PM,,Other,07/14/2000 07:08:43 PM,1400 Block of MARKET ST,SF,94102,B02,36,3211,2,2,2,true,,1,MEDIC,1,2,6,Tenderloin,"(37.7759118668868, -122.418463578381)",001960237-M36
001960243,RA38,00058809,Medical Incident,07/14/2000,07/14/2000,07/14/2000 06:33:37 PM,07/14/2000 06:34:17 PM,07/14/2000 06:35:28 PM,07/14/2000 06:35:54 PM,,,,Other,07/14/2000 06:41:37 PM,HYDE ST/OFARRELL ST,SF,94109,B04,03,1544,1,1,2,false,,1,AIRPORT,1,2,6,Tenderloin,"(37.7853759730503, -122.416259705763)",001960243-RA38
001960253,B01,00058819,Alarms,07/14/2000,07/14/2000,07/14/2000 06:59:07 PM,07/14/2000 06:59:28 PM,07/14/2000 06:59:37 PM,07/14/2000 07:00:41 PM,07/14/2000 07:03:42 PM,,,Other,07/14/2000 07:19:02 PM,600 Block of GEARY ST,SF,94102,B01,03,1462,3,3,3,false,,1,CHIEF,3,1,6,Tenderloin,"(37.7865705542086, -122.413973061638)",001960253-B01
001960253,E03,00058819,Alarms,07/14/2000,07/14/2000,07/14/2000 06:59:07 PM,07/14/2000 06:59:28 PM,07/14/2000 06:59:37 PM,,07/14/2000 07:02:17 PM,,,Other,07/14/2000 07:18:57 PM,600 Block of GEARY ST,SF,94102,B01,03,1462,3,3,3,false,,1,ENGINE,2,1,6,Tenderloin,"(37.7865705542086, -122.413973061638)",001960253-E03
001960253,T03,00058819,Alarms,07/14/2000,07/14/2000,07/14/2000 06:59:07 PM,07/14/2000 06:59:28 PM,07/14/2000 06:59:37 PM,07/14/2000 07:02:02 PM,07/14/2000 07:02:10 PM,,,Other,07/14/2000 07:18:17 PM,600 Block of GEARY ST,SF,94102,B01,03,1462,3,3,3,true,,1,TRUCK,1,1,6,Tenderloin,"(37.7865705542086, -122.413973061638)",001960253-T03
001960264,M41,00058833,Medical Incident,07/14/2000,07/14/2000,07/14/2000 07:35:20 PM,07/14/2000 07:37:24 PM,07/14/2000 07:52:59 PM,07/14/2000 07:55:35 PM,07/14/2000 08:06:41 PM,,,Other,07/14/2000 08:09:57 PM,500 Block of LARKIN ST,SF,94102,B02,03,1643,2,2,2,true,,1,MEDIC,1,2,6,Tenderloin,"(37.78285368439, -122.417365509218)",001960264-M41
001960278,E03,00058843,Medical Incident,07/14/2000,07/14/2000,07/14/2000 08:27:13 PM,07/14/2000 08:28:41 PM,07/14/2000 08:28:58 PM,,07/14/2000 08:32:05 PM,,,Other,07/14/2000 08:42:14 PM,200 Block of HYDE ST,SF,94102,B02,03,1554,3,3,3,false,,1,ENGINE,1,2,6,Tenderloin,"(37.7830590618212, -122.41571987823)",001960278-E03
001960278,M41,00058843,Medical Incident,07/14/2000,07/14/2000,07/14/2000 08:27:13 PM,07/14/2000 08:28:41 PM,07/14/2000 08:28:58 PM,07/14/2000 08:31:23 PM,07/14/2000 08:35:01 PM,07/14/2000 08:43:22 PM,07/14/2000 08:49:20 PM,Other,07/14/2000 08:33:44 PM,200 Block of HYDE ST,SF,94102,B02,03,1554,3,3,3,true,,1,MEDIC,2,2,6,Tenderloin,"(37.7830590618212, -122.41571987823)",001960278-M41
001960287,E36,00058853,Medical Incident,07/14/2000,07/14/2000,07/14/2000 08:59:29 PM,07/14/2000 08:59:54 PM,07/14/2000 09:00:10 PM,07/14/2000 09:01:08 PM,07/14/2000 09:02:18 PM,,,Other,07/14/2000 09:06:09 PM,10TH ST/MARKET ST,SF,94103,B02,36,2337,3,3,3,true,,1,ENGINE,1,2,6,Tenderloin,"(37.7765408927183, -122.417501464907)",001960287-E36
001960287,M01,00058853,Medical Incident,07/14/2000,07/14/2000,07/14/2000 08:59:29 PM,07/14/2000 08:59:54 PM,07/14/2000 09:00:10 PM,07/14/2000 09:00:37 PM,07/14/2000 09:03:59 PM,,,Other,07/14/2000 09:46:59 PM,10TH ST/MARKET ST,SF,94103,B02,36,2337,3,3,3,true,,1,MEDIC,2,2,6,Tenderloin,"(37.7765408927183, -122.417501464907)",001960287-M01
001960293,AR1,00058859,Other,07/14/2000,07/14/2000,07/14/2000 09:21:31 PM,07/14/2000 09:21:59 PM,07/14/2000 09:22:35 PM,07/14/2000 09:23:47 PM,07/14/2000 09:42:31 PM,,,Other,07/14/2000 10:42:56 PM,200 Block of JONES ST,SF,94102,B03,01,1456,3,3,3,false,,1,INVESTIGATION,1,3,6,Tenderloin,"(37.7834768403875, -122.412435140728)",001960293-AR1
001960299,E03,00058865,Citizen Assist / Service Call,07/14/2000,07/14/2000,07/14/2000 09:37:42 PM,07/14/2000 09:38:25 PM,07/14/2000 09:38:42 PM,,,,,Other,07/14/2000 09:44:03 PM,400 Block of TURK ST,SF,94102,B02,03,1554,3,3,3,false,,1,ENGINE,2,2,6,Tenderloin,"(37.7825569563078, -122.416349428183)",001960299-E03
001960299,RC1,00058865,Citizen Assist / Service Call,07/14/2000,07/14/2000,07/14/2000 09:37:42 PM,07/14/2000 09:38:25 PM,07/14/2000 09:38:42 PM,07/14/2000 09:43:28 PM,07/14/2000 09:53:12 PM,,,Other,07/14/2000 10:03:00 PM,400 Block of TURK ST,SF,94102,B02,03,1554,3,3,3,true,,1,RESCUE CAPTAIN,1,2,6,Tenderloin,"(37.7825569563078, -122.416349428183)",001960299-RC1
001960303,M01,00058869,Medical Incident,07/14/2000,07/14/2000,07/14/2000 09:45:34 PM,07/14/2000 09:47:45 PM,07/14/2000 09:48:41 PM,07/14/2000 10:03:14 PM,07/14/2000 10:08:52 PM,07/14/2000 10:17:51 PM,07/14/2000 10:34:55 PM,Other,07/14/2000 10:35:37 PM,100 Block of JONES ST,SF,94102,B03,01,1456,1,1,2,true,,1,MEDIC,2,3,6,Tenderloin,"(37.7825474000421, -122.412247935495)",001960303-M01
001960303,RA08,00058869,Medical Incident,07/14/2000,07/14/2000,07/14/2000 09:45:34 PM,07/14/2000 09:47:45 PM,07/14/2000 09:48:41 PM,07/14/2000 09:51:44 PM,07/14/2000 09:55:46 PM,,,Other,07/14/2000 10:24:01 PM,100 Block of JONES ST,SF,94102,B03,01,1456,1,1,2,false,,1,AIRPORT,1,3,6,Tenderloin,"(37.7825474000421, -122.412247935495)",001960303-RA08
001960303,RC1,00058869,Medical Incident,07/14/2000,07/14/2000,07/14/2000 09:45:34 PM,07/14/2000 09:47:45 PM,07/14/2000 09:48:41 PM,07/14/2000 10:03:11 PM,07/14/2000 10:10:33 PM,,,Other,07/14/2000 10:17:19 PM,100 Block of JONES ST,SF,94102,B03,01,1456,1,1,2,false,,1,RESCUE CAPTAIN,3,3,6,Tenderloin,"(37.7825474000421, -122.412247935495)",001960303-RC1
001960303,RC2,00058869,Medical Incident,07/14/2000,07/14/2000,07/14/2000 09:45:34 PM,07/14/2000 09:47:45 PM,07/14/2000 09:48:41 PM,,,,,Other,,100 Block of JONES ST,SF,94102,B03,01,1456,1,1,2,true,,1,RESCUE CAPTAIN,4,3,6,Tenderloin,"(37.7825474000421, -122.412247935495)",001960303-RC2
001960308,E01,00058874,Medical Incident,07/14/2000,07/14/2000,07/14/2000 10:10:46 PM,07/14/2000 10:11:53 PM,07/14/2000 10:13:17 PM,07/14/2000 10:14:56 PM,,,,Other,07/14/2000 10:15:33 PM,200 Block of JONES ST,SF,94102,B03,01,1456,3,3,3,false,,1,ENGINE,4,3,6,Tenderloin,"(37.7834768403875, -122.412435140728)",001960308-E01
001960308,M36,00058874,Medical Incident,07/14/2000,07/14/2000,07/14/2000 10:10:46 PM,07/14/2000 10:11:53 PM,07/14/2000 10:13:17 PM,07/14/2000 10:14:43 PM,07/14/2000 10:17:21 PM,07/14/2000 10:30:12 PM,07/14/2000 10:34:08 PM,Other,07/14/2000 10:58:16 PM,200 Block of JONES ST,SF,94102,B03,01,1456,3,3,3,true,,1,MEDIC,1,3,6,Tenderloin,"(37.7834768403875, -122.412435140728)",001960308-M36
001960308,RC1,00058874,Medical Incident,07/14/2000,07/14/2000,07/14/2000 10:10:46 PM,07/14/2000 10:11:53 PM,07/14/2000 10:13:17 PM,,,,,Other,07/14/2000 10:54:02 PM,200 Block of JONES ST,SF,94102,B03,01,1456,3,3,3,true,,1,RESCUE CAPTAIN,3,3,6,Tenderloin,"(37.7834768403875, -122.412435140728)",001960308-RC1
001960308,RS1,00058874,Medical Incident,07/14/2000,07/14/2000,07/14/2000 10:10:46 PM,07/14/2000 10:11:53 PM,07/14/2000 10:13:17 PM,,,,,Other,,200 Block of JONES ST,SF,94102,B03,01,1456,3,3,3,false,,1,RESCUE SQUAD,2,3,6,Tenderloin,"(37.7834768403875, -122.412435140728)",001960308-RS1
001960311,RA08,00058877,Medical Incident,07/14/2000,07/14/2000,07/14/2000 10:20:10 PM,07/14/2000 10:21:39 PM,07/14/2000 10:22:22 PM,07/14/2000 10:24:09 PM,07/14/2000 10:24:47 PM,07/14/2000 10:38:34 PM,07/14/2000 10:50:13 PM,Other,07/14/2000 11:02:10 PM,CYRIL MAGNIN ST/EDDY ST,SF,94102,B03,01,1453,1,1,2,false,,1,AIRPORT,1,3,6,Tenderloin,"(37.7844527288793, -122.408493159961)",001960311-RA08
001960311,RA13,00058877,Medical Incident,07/14/2000,07/14/2000,07/14/2000 10:20:10 PM,07/14/2000 10:21:39 PM,07/14/2000 10:22:22 PM,07/14/2000 10:23:24 PM,,,,Other,,CYRIL MAGNIN ST/EDDY ST,SF,94102,B03,01,1453,1,1,2,false,,1,AIRPORT,2,3,6,Tenderloin,"(37.7844527288793, -122.408493159961)",001960311-RA13
001960318,RA02,00058884,Medical Incident,07/14/2000,07/14/2000,07/14/2000 10:47:40 PM,07/14/2000 10:48:05 PM,07/14/2000 10:48:35 PM,07/14/2000 10:49:08 PM,07/14/2000 10:55:09 PM,07/14/2000 11:47:19 PM,07/14/2000 11:57:57 PM,Other,07/15/2000 12:16:25 AM,0 Block of JONES ST,SF,94102,B03,01,1455,1,1,2,true,,1,AIRPORT,1,2,6,Tenderloin,"(37.7815955871561, -122.412190669917)",001960318-RA02
001960322,E03,00058888,Medical Incident,07/14/2000,07/14/2000,07/14/2000 11:03:18 PM,07/14/2000 11:03:59 PM,07/14/2000 11:04:22 PM,07/14/2000 11:07:05 PM,07/14/2000 11:08:16 PM,,,Other,07/14/2000 11:32:04 PM,600 Block of GEARY ST,SF,94109,B01,03,1462,3,3,3,false,,1,ENGINE,2,1,3,Tenderloin,"(37.7866790146424, -122.413995034531)",001960322-E03
001960322,M01,00058888,Medical Incident,07/14/2000,07/14/2000,07/14/2000 11:03:18 PM,07/14/2000 11:03:59 PM,07/14/2000 11:04:22 PM,,07/14/2000 11:08:16 PM,,,Other,07/14/2000 11:58:10 PM,600 Block of GEARY ST,SF,94109,B01,03,1462,3,3,3,true,,1,MEDIC,1,1,3,Tenderloin,"(37.7866790146424, -122.413995034531)",001960322-M01
001960328,E01,00058893,Medical Incident,07/14/2000,07/14/2000,07/14/2000 11:20:50 PM,07/14/2000 11:24:43 PM,07/14/2000 11:25:57 PM,07/14/2000 11:27:56 PM,07/14/2000 11:29:57 PM,,,Other,07/14/2000 11:36:07 PM,900 Block of MARKET ST,SF,94102,B03,01,2248,3,3,3,false,,1,ENGINE,1,3,6,Tenderloin,"(37.7828276498838, -122.409708423721)",001960328-E01
001960328,K667,00058893,Medical Incident,07/14/2000,07/14/2000,07/14/2000 11:20:50 PM,07/14/2000 11:24:43 PM,07/14/2000 11:25:57 PM,,07/14/2000 11:34:10 PM,07/14/2000 11:48:18 PM,,Other,07/15/2000 12:05:08 AM,900 Block of MARKET ST,SF,94102,B03,01,2248,3,3,3,false,,1,PRIVATE,2,3,6,Tenderloin,"(37.7828276498838, -122.409708423721)",001960328-K667
001970030,AR1,00058931,Structure Fire,07/15/2000,07/14/2000,07/15/2000 02:18:11 AM,07/15/2000 02:19:13 AM,07/15/2000 02:19:39 AM,07/15/2000 02:37:08 AM,07/15/2000 02:44:10 AM,,,Other,07/15/2000 07:50:08 AM,200 Block of TAYLOR ST,SF,94102,B03,01,1453,3,3,3,false,,2,INVESTIGATION,23,3,6,Tenderloin,"(37.7845991269502, -122.411114048741)",001970030-AR1
001970030,B01,00058931,Structure Fire,07/15/2000,07/14/2000,07/15/2000 02:18:11 AM,07/15/2000 02:19:13 AM,07/15/2000 02:19:39 AM,07/15/2000 02:20:52 AM,07/15/2000 02:24:34 AM,,,Other,07/15/2000 06:03:30 AM,200 Block of TAYLOR ST,SF,94102,B03,01,1453,3,3,3,false,,2,CHIEF,3,3,6,Tenderloin,"(37.7845991269502, -122.411114048741)",001970030-B01
001970030,B02,00058931,Structure Fire,07/15/2000,07/14/2000,07/15/2000 02:18:11 AM,07/15/2000 02:19:13 AM,07/15/2000 02:19:39 AM,07/15/2000 02:20:58 AM,07/15/2000 02:23:29 AM,,,Other,07/15/2000 06:51:36 AM,200 Block of TAYLOR ST,SF,94102,B03,01,1453,3,3,3,false,,2,CHIEF,2,3,6,Tenderloin,"(37.7845991269502, -122.411114048741)",001970030-B02
001970030,B04,00058931,Structure Fire,07/15/2000,07/14/2000,07/15/2000 02:18:11 AM,07/15/2000 02:19:13 AM,07/15/2000 02:19:39 AM,07/15/2000 02:26:16 AM,07/15/2000 02:30:33 AM,,,Other,07/15/2000 04:39:37 AM,200 Block of TAYLOR ST,SF,94102,B03,01,1453,3,3,3,true,,2,CHIEF,6,3,6,Tenderloin,"(37.7845991269502, -122.411114048741)",001970030-B04
001970030,BE1,00058931,Structure Fire,07/15/2000,07/14/2000,07/15/2000 02:18:11 AM,07/15/2000 02:19:13 AM,07/15/2000 02:19:39 AM,07/15/2000 02:35:20 AM,07/15/2000 03:14:06 AM,,,Other,07/15/2000 03:53:55 AM,200 Block of TAYLOR ST,SF,94102,B03,01,1453,3,3,3,false,,2,SUPPORT,24,3,6,Tenderloin,"(37.7845991269502, -122.411114048741)",001970030-BE1